productId,baseName,variantName,description,category,basePrice
45,RELATIVE DENSITY BOTTLE WITH GLASS STOPPER 100ML,,,Glassware,140
46,RELATIVE DENSITY BOTTLE  WITH TEFLON STOPPERS 10ML,,,Glassware,76
47,RELATIVE DENSITY BOTTLE  WITH TEFLON STOPPERS 25ML,,,Glassware,84
48,RELATIVE DENSITY BOTTLE  WITH TEFLON STOPPERS 50ML,,,Glassware,94
49,RELATIVE DENSITY BOTTLE  WITH TEFLON STOPPERS 100ML,,,Glassware,160
50,WEIGHING BOTTLE TALL FORM WITH STOPPERS 5ML(20X40MM),,,Glassware,50
51,WEIGHING BOTTLE TALL FORM WITH STOPPERS 15ML(25X60MM),,,Glassware,60
52,WEIGHING BOTTLE TALL FORM WITH STOPPERS 25ML(30X65MM),,,Glassware,70
53,WEIGHING BOTTLE TALL FORM WITH STOPPERS 60ML(40X90MM),,,Glassware,170
54,WEIGHING BOTTLE SQUAT FORM WITH STOPPERS 20ML(50X35MM),,,Glassware,170
55,WEIGHING BOTTLE SQUAT FORM WITH STOPPERS 40ML(60X40MM),,,Glassware,180
56,WEIGHING BOTTLE SQUAT FORM WITH STOPPERS 50ML(50X50MM),,,Glassware,190
57,CHROMATOGRPHY COLUMN PLAIN WITH ROTA FLOW STOPCOCK EFECTIVE LENGTH 50CMX20MM,,,Glassware,140
58,CHROMATOGRPHY COLUMN PLAIN WITH ROTA FLOW STOPCOCK EFECTIVE LENGTH 60CMX25MM,,,Glassware,160
59,CHROMATOGRPHY COLUMN PLAIN WITH ROTA FLOW STOPCOCK EFECTIVE LENGTH 60CMX38MM,,,Glassware,300
60,BURETTE WITH ROTAFLOW STOPCOCK MEDIUM WALL 5ML,,,Glassware,100
61,BURETTE WITH ROTAFLOW STOPCOCK MEDIUM WALL 10ML,,,Glassware,100
62,BURETTE WITH ROTAFLOW STOPCOCK MEDIUM WALL 25ML,,,Glassware,100
63,BURETTE WITH ROTAFLOW STOPCOCK MEDIUM WALL 50ML,,,Glassware,110
64,BURETTE WITH ROTAFLOW STOPCOCK MEDIUM WALL 100ML,,,Glassware,160
65,BURETTE WITH GLASS STOPCOCK MEDIUM WALL 5ML,,,Glassware,140
66,BURETTE WITH GLASS STOPCOCK MEDIUM WALL 10ML,,,Glassware,140
67,BURETTE WITH GLASS STOPCOCK MEDIUM WALL 25ML,,,Glassware,140
68,BURETTE WITH GLASS STOPCOCK MEDIUM WALL 50ML,,,Glassware,150
69,BURETTE WITH GLASS STOPCOCK MEDIUM WALL 100ML,,,Glassware,200
70,MEASURING CYLINDER ROUND BASE CLASS B 5ML,,,Glassware,48
71,MEASURING CYLINDER ROUND BASE CLASS B 10ML,,,Glassware,50
72,MEASURING CYLINDER ROUND BASE CLASS B 25ML,,,Glassware,60
73,MEASURING CYLINDER ROUND BASE CLASS B 50ML,,,Glassware,70
74,MEASURING CYLINDER ROUND BASE CLASS B 100ML   ,,,Glassware,96
75,MEASURING CYLINDER ROUND BASE CLASS B 250ML,,,Glassware,170
76,MEASURING CYLINDER ROUND BASE CLASS B 500ML,,,Glassware,240
77,MEASURING CYLINDER ROUND BASE CLASS B 1000ML,,,Glassware,420
78,MEASURING CYLINDER ROUND BASE CLASS B 2000ML,,,Glassware,800
79,MEASURING CYLINDER HEXAGONAL BASE CLASS B 5ML,,,Glassware,140
80,MEASURING CYLINDER HEXAGONAL BASE CLASS B 10ML,,,Glassware,140
81,MEASURING CYLINDER HEXAGONAL BASE CLASS B 25ML,,,Glassware,150
82,MEASURING CYLINDER HEXAGONAL BASE CLASS B 50ML,,,Glassware,190
83,MEASURING CYLINDER HEXAGONAL BASE CLASS B 100ML   ,,,Glassware,230
84,MEASURING CYLINDER HEXAGONAL BASE CLASS B 250 ML,,,Glassware,370
85,MEASURING CYLINDER HEXAGONAL BASE CLASS B 500ML,,,Glassware,550
86,MEASURING CYLINDER HEXAGONAL BASE CLASS B 1000ML,,,Glassware,800
87,MEASURING CYLINDER HEXAGONAL BASE CLASS B 2000ML,,,Glassware,1350
88,NESSLERS CYLINDERS 50ML,,,Glassware,36
89,NESSLERS CYLINDERS 100ML,,,Glassware,56
90,CONDENSOR   LEIBIG WITH INTERCHANGEABLE JOINTS 200MM,,,Glassware,190
91,CONDENSOR   LEIBIG WITH INTERCHANGEABLE JOINTS 300MM,,,Glassware,220
92,CONDENSOR   LEIBIG WITH INTERCHANGEABLE JOINTS 400MM,,,Glassware,280
93,CONDENSOR   LEIBIG WITH INTERCHANGEABLE JOINTS 500MM,,,Glassware,350
94,BULB CONDENSOR WITH INTERCHANGEABLE JOINTS 200MM,,,Glassware,260
95,BULB CONDENSOR WITH INTERCHANGEABLE JOINTS 300MM,,,Glassware,320
96,BULB CONDENSOR WITH INTERCHANGEABLE JOINTS 400MM,,,Glassware,400
97,COIL CONDENSOR WITH INTERCHANGEABLE JOINTS 300MM,,,Glassware,360
98,COIL CONDENSOR WITH INTERCHANGEABLE JOINTS 400MM,,,Glassware,440
99,COIL CONDENSOR WITH INTERCHANGEABLE JOINTS 500MM,,,Glassware,600
100,SOXLET EXTRACTION APPARATUS WITH FLASK 60ML,,,Glassware,720
101,SOXLET EXTRACTION APPARATUS WITH FLASK 100ML,,,Glassware,750
102,SOXLET EXTRACTION APPARATUS WITH FLASK 200ML,,,Glassware,1040
103,SOXLET EXTRACTION APPARATUS WITH FLASK 400ML,,,Glassware,1900
104,GLASS DESSICATORS PLAIN IMPORTED 120MM,,,Glassware,850
105,GLASS DESSICATORS PLAIN IMPORTED 150MM,,,Glassware,1100
106,GLASS DESSICATORS PLAIN IMPORTED 210MM,,,Glassware,1900
107,GLASS DESSICATORS PLAIN IMPORTED 240MM,,,Glassware,2900
108,GLASS DESSICATORS PLAIN IMPORTED 300MM,,,Glassware,4200
109,GLASS DESSICATORS VACCUM IMPORTED 150MM,,,Glassware,1600
110,GLASS DESSICATORS VACCUM IMPORTED 210MM,,,Glassware,2900
111,GLASS DESSICATORS VACCUM IMPORTED 240MM,,,Glassware,3700
112,GLASS DESSICATORS VACCUM IMPORTED 300MM,,,Glassware,5400
113,SOCKETS B 10,,,Glassware,36
114,SOCKETS B 14,,,Glassware,42
115,SOCKETS B 19,,,Glassware,48
116,SOCKETS B 24,,,Glassware,56
117,SOCKETS B 29,,,Glassware,88
118,SOCKETS B 34,,,Glassware,120
119,"PETRI DISH 2""",,,Glassware,68
120,"PETRI DISH 3""",,,Glassware,84
121,"PETRI DISH 4""",,,Glassware,100
122,"PETRI DISH 6""",,,Glassware,350
123,"PETRI DISH 8""",,,Glassware,400
124,"DISTILATION ASSEMBLY CONSISTING RB FLASK LEIBIG COND, RECIEVER ADOPTOR AND BEND 250 ML",,,Glassware,520
125,"DISTILATION ASSEMBLY CONSISTING RB FLASK LEIBIG COND, RECIEVER ADOPTOR AND BEND 500 ML",,,Glassware,560
126,"DISTILATION ASSEMBLY CONSISTING RB FLASK LEIBIG COND, RECIEVER ADOPTOR AND BEND 1000 ML",,,Glassware,750
127,"DISTILATION ASSEMBLY CONSISTING RB FLASK LEIBIG COND, RECIEVER ADOPTOR AND BEND 2000ML",,,Glassware,1150
128,THIEL TUBE 18X150MM,,,Glassware,44
129,THIEL TUBE 25X150MM,,,Glassware,56
130,PYKNOMETER 5 ML,,,Glassware,40
131,PYKNOMETER 10ML,,,Glassware,54
132,PYKNOMETER 25 ML,,,Glassware,80
133,DROPPER WITH RUBBER TEAT BOROCILICATE GLASS 10CM,,,Glassware,8
134,DROPPER WITH RUBBER TEAT BOROCILICATE GLASS 15CM,,,Glassware,8
135,DROPPER WITH RUBBER TEAT BOROCILICATE GLASS 20CM,,,Glassware,12
136,RECTANGULAR MEUSUM JARS WITH GLASS COVER IMPORTED 140X210X100,,,Glassware,1300
137,RECTANGULAR MEUSUM JARS WITH GLASS COVER IMPORTED 210X170X130,,,Glassware,1300
138,RECTANGULAR MEUSUM JARS WITH GLASS COVER IMPORTED 220X140X140,,,Glassware,1300
139,RECTANGULAR MEUSUM JARS WITH GLASS COVER IMPORTED 225X225X125,,,Glassware,1900
140,RECTANGULAR MEUSUM JARS WITH GLASS COVER IMPORTED 250x250x150,,,Glassware,2600
141,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 5 ML,,,Glassware,46
142,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 10ML,,,Glassware,56
143,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 25ML,,,Glassware,60
144,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 50ML,,,Glassware,68
145,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 100ML,,,Glassware,84
146,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 250ML  ,,,Glassware,124
147,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 500ML,,,Glassware,220
148,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 1000ML,,,Glassware,310
149,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 2000ML,,,Glassware,620
150,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 5 ML,,,Glassware,110
151,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 10ML,,,Glassware,130
152,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 25ML,,,Glassware,140
153,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 50ML,,,Glassware,160
154,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 100ML   ,,,Glassware,220
155,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 250ML,,,Glassware,320
156,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 500ML,,,Glassware,450
157,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 1000ML,,,Glassware,700
158,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 10ML,,,Glassware,36
159,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 25ML,,,Glassware,40
160,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 50ML,,,Glassware,44
161,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 100ML,,,Glassware,50
162,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 150ML,,,Glassware,66
163,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 250ML,,,Glassware,80
164,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 500ML,,,Glassware,130
165,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 1000ML,,,Glassware,220
166,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 2000ML,,,Glassware,550
167,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 3000ML,,,Glassware,950
168,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 5000ML,,,Glassware,1600
169,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 10ML,,,Glassware,60
170,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 25ML,,,Glassware,68
171,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 50ML,,,Glassware,72
172,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 100ML,,,Glassware,76
173,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 250ML,,,Glassware,120
174,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 500ML,,,Glassware,160
175,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 1000ML,,,Glassware,260
176,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 2000ML,,,Glassware,660
177,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 3000ML,,,Glassware,1050
178,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 5000ML,,,Glassware,1700
179,IODINE FLASK 100ML,,,Glassware,130
180,IODINE FLASK 250ML,,,Glassware,160
181,IODINE FLASK 500ML,,,Glassware,220
182,PIPETTE VOLUMETRIC ONE MARK CLASS B 1ML,,,Glassware,30
183,PIPETTE VOLUMETRIC ONE MARK CLASS B 2ML,,,Glassware,30
184,PIPETTE VOLUMETRIC ONE MARK CLASS B 5ML,,,Glassware,30
185,PIPETTE VOLUMETRIC ONE MARK CLASS B 10ML,,,Glassware,36
186,PIPETTE VOLUMETRIC ONE MARK CLASS B 20ML,,,Glassware,40
187,PIPETTE VOLUMETRIC ONE MARK CLASS B 25ML  ,,,Glassware,40
188,PIPETTE VOLUMETRIC ONE MARK CLASS B 50ML   ,,,Glassware,60
189,PIPETTE VOLUMETRIC ONE MARK CLASS B 100ML,,,Glassware,100
190,PIPETTE GRADUATED SERLOGICAL AND MOHAR TYPE       CLASS B 0.1ML,,,Glassware,34
191,PIPETTE GRADUATED SERLOGICAL AND MOHAR TYPE       CLASS B 0.2ML,,,Glassware,34
192,PIPETTE GRADUATED SERLOGICAL AND MOHAR TYPE       CLASS B 0.5ML   ,,,Glassware,34
193,PIPETTE GRADUATED SERLOGICAL AND MOHAR TYPE       CLASS B 1ML,,,Glassware,34
194,PIPETTE GRADUATED SERLOGICAL AND MOHAR TYPE       CLASS B 2ML,,,Glassware,36
195,PIPETTE GRADUATED SERLOGICAL AND MOHAR TYPE       CLASS B 5ML,,,Glassware,38
196,PIPETTE GRADUATED SERLOGICAL AND MOHAR TYPE       CLASS B 10ML   ,,,Glassware,40
197,PIPETTE GRADUATED SERLOGICAL AND MOHAR TYPE       CLASS B 25ML,,,Glassware,54
198,TEST TUBE WITH RIM/WITHOUT RIM BOROSILICATE GLASS PACK OF 100 PC 10X75,,,Glassware,320
199,TEST TUBE WITH RIM/WITHOUT RIM BOROSILICATE GLASS PACK OF 100 PC 12X75,,,Glassware,360
200,TEST TUBE WITH RIM/WITHOUT RIM BOROSILICATE GLASS PACK OF 100 PC 12X100,,,Glassware,440
201,TEST TUBE WITH RIM/WITHOUT RIM BOROSILICATE GLASS PACK OF 100 PC 15X125,,,Glassware,660
202,TEST TUBE WITH RIM/WITHOUT RIM BOROSILICATE GLASS PACK OF 100 PC 15X150,,,Glassware,720
203,TEST TUBE WITH RIM/WITHOUT RIM BOROSILICATE GLASS PACK OF 100 PC 18X150,,,Glassware,920
204,TEST TUBE WITH RIM/WITHOUT RIM BOROSILICATE GLASS PACK OF 100 PC 25X150,,,Glassware,1160
205,TEST TUBE WITH RIM/WITHOUT RIM BOROSILICATE GLASS PACK OF 100 PC 25X200,,,Glassware,1800
206,TEST TUBE WITH RIM/WITHOUT RIM BOROSILICATE GLASS PACK OF 100 PC 32X200,,,Glassware,3600
207,TEST TUBE WITH RIM/WITHOUT RIM BOROSILICATE GLASS PACK OF 100 PC 38X200,,,Glassware,5000
208,CULTURE TUBE S WITH SCREW CAP ROUND BOTTOM 5 ML,,,Glassware,14
209,CULTURE TUBE S WITH SCREW CAP ROUND BOTTOM 10 ML,,,Glassware,16
210,CULTURE TUBE S WITH SCREW CAP ROUND BOTTOM 15 ML,,,Glassware,18
211,CULTURE TUBE S WITH SCREW CAP ROUND BOTTOM 30 ML,,,Glassware,20
212,CULTURE TUBE S WITH SCREW CAP ROUND BOTTOM 50 ML,,,Glassware,26
213,CULTURE TUBE S WITH SCREW CAP ROUND BOTTOM 60 ML,,,Glassware,30
214,TEST TUBE GRADUATED WITH STANDARD JOINT AND STOPPER 5ML,,,Glassware,50
215,TEST TUBE GRADUATED WITH STANDARD JOINT AND STOPPER 10ML,,,Glassware,50
216,TEST TUBE GRADUATED WITH STANDARD JOINT AND STOPPER 15ML,,,Glassware,52
217,TEST TUBE GRADUATED WITH STANDARD JOINT AND STOPPER 25ML,,,Glassware,60
218,TEST TUBE GRADUATED WITH STANDARD JOINT AND STOPPER 50ML,,,Glassware,68
219,TEST TUBE GRADUATED WITH STANDARD JOINT AND STOPPER 100ML,,,Glassware,120
220,KJELDHAL FLASK WITH JOINT B 24 100ML,,,Glassware,110
221,KJELDHAL FLASK WITH JOINT B 25 300ML,,,Glassware,150
222,KJELDHAL FLASK WITH JOINT B 26 500ML,,,Glassware,220
223,KJELDHAL FLASK WITH JOINT B 27 800ML,,,Glassware,360
224,GLASS FUNNEL 25MM,,,Glassware,28
225,GLASS FUNNEL 50MM,,,Glassware,32
226,GLASS FUNNEL 65MM,,,Glassware,34
227,GLASS FUNNEL 75MM,,,Glassware,44
228,GLASS FUNNEL 100MM,,,Glassware,72
229,GLASS FUNNEL 125 MM,,,Glassware,170
230,GLASS FUNNEL 150MM,,,Glassware,300
231,SEPARATING FUNNEL WITH ROTAFLOW STOPCOCK / HOLLOW STOPER 25ML,,,Glassware,140
232,SEPARATING FUNNEL WITH ROTAFLOW STOPCOCK / HOLLOW STOPER 50ML,,,Glassware,140
233,SEPARATING FUNNEL WITH ROTAFLOW STOPCOCK / HOLLOW STOPER 125ML,,,Glassware,160
234,SEPARATING FUNNEL WITH ROTAFLOW STOPCOCK / HOLLOW STOPER 250 ML,,,Glassware,220
235,SEPARATING FUNNEL WITH ROTAFLOW STOPCOCK / HOLLOW STOPER 500 ML,,,Glassware,310
236,SEPARATING FUNNEL WITH ROTAFLOW STOPCOCK / HOLLOW STOPER 1000 ML,,,Glassware,500
237,SEPARATING FUNNEL WITH ROTAFLOW STOPCOCK / HOLLOW STOPER 2000ML,,,Glassware,950
238,SEPARATING FUNNEL WITH ROTAFLOW STOPCOCK / HOLLOW STOPER 5000ML,,,Glassware,3200
239,SEPARATING FUNNEL WITH GLASS STOPCOCK / HOLLOW STOPER 25ML,,,Glassware,180
240,SEPARATING FUNNEL WITH GLASS STOPCOCK / HOLLOW STOPER 50ML,,,Glassware,180
241,SEPARATING FUNNEL WITH GLASS STOPCOCK / HOLLOW STOPER 125ML,,,Glassware,200
242,SEPARATING FUNNEL WITH GLASS STOPCOCK / HOLLOW STOPER 250ML,,,Glassware,260
243,SEPARATING FUNNEL WITH GLASS STOPCOCK / HOLLOW STOPER 500ML,,,Glassware,350
244,SEPARATING FUNNEL WITH GLASS STOPCOCK / HOLLOW STOPER 1000ML,,,Glassware,540
245,SEPARATING FUNNEL WITH GLASS STOPCOCK / HOLLOW STOPER 2000ML,,,Glassware,1000
246,SEPARATING FUNNEL WITH GLASS STOPCOCK / HOLLOW STOPER 5000ML,,,Glassware,3200
247,"SINTERED CURSIBLE G 1,2,3,4 15 ML",,,Glassware,60
248,"SINTERED CURSIBLE G 1,2,3,5 30ML",,,Glassware,64
249,"SINTERED CURSIBLE G 1,2,3,6 50ML",,,Glassware,120
250,"SINTERED BUCKNER FUNNEL G 1,2,3,4 35ML",,,Glassware,136
251,"SINTERED BUCKNER FUNNEL G 1,2,3,5 80ML",,,Glassware,250
252,"SINTERED BUCKNER FUNNEL G 1,2,3,6 200ML",,,Glassware,520
253,"SINTERED BUCKNER FUNNEL G 1,2,3,7 500ML",,,Glassware,1240
254,"SINTERED BUCKNER FUNNEL G 1,2,3,8 1000 ML",,,Glassware,3000
255,FILTER FLASKS BOLT NECK 100ML,,,Glassware,160
256,FILTER FLASKS BOLT NECK 250ML,,,Glassware,220
257,FILTER FLASKS BOLT NECK 500ML,,,Glassware,320
258,FILTER FLASKS BOLT NECK 1000ML,,,Glassware,520
259,FILTER FLASKS BOLT NECK 2000ML,,,Glassware,1200
260,REAGENT BOTTLES WITH HOLLOW STOPPERS AMBER COLOUR 30ML,,,Glassware,160
261,REAGENT BOTTLES WITH HOLLOW STOPPERS AMBER COLOUR 60ML,,,Glassware,170
262,REAGENT BOTTLES WITH HOLLOW STOPPERS AMBER COLOUR 125ML,,,Glassware,220
263,REAGENT BOTTLES WITH HOLLOW STOPPERS AMBER COLOUR 250ML,,,Glassware,320
264,REAGENT BOTTLES WITH HOLLOW STOPPERS AMBER COLOUR 500ML,,,Glassware,450
265,REAGENT BOTTLES WITH HOLLOW STOPPERS AMBER COLOUR 1000ML,,,Glassware,700
266,REAGENT BOTTLES WITH HOLLOW STOPPERS AMBER COLOUR 2000ML,,,Glassware,1300
267,OXFORD,OXFORD,OXFORD,OXFORD,1
268,ABSCISIC ACID 99% (For Biochemistry)  25 mg,,,Lab Reagent,1350
269,ABSCISIC ACID 99% (For Biochemistry) 100 mg,,,,4500
270,ABSCISIC ACID 99% (For Biochemistry)  500 mg,,,,20000
271,ACACIA Extra Pure  500 gm,,,,540
272,ACACIA Extra Pure  5 kg,,,,4450
273,ACACIA AR (Enzyme Free) 500 gm,,,,800
274,ACENAPHTHENE 96% (For Synthesis) 100 gm,,,,700
275,ACENAPHTHENE 96% (For Synthesis) 500 gm,,,,3000
276,ACES BUFFER 99% Extra Pure 5 gm,,,,460
277,ACES BUFFER 99% Extra Pure 25 gm,,,,1720
278,ACETALDEHYDE SOLUTION 20-30% (For Synthesis)  500 ml,,,,680
279,ACETALDEHYDE SOLUTION 20-30% (For Synthesis)  2.5 Ltr,,,,2800
280,ACETAMIDE 99% (For Synthesis) 250 gm,,,,650
281,ACETAMIDE 99% (For Synthesis) 500 gm,,,,1180
282,ACETANILIDE 98.5% Extra Pure 500 gm,,,,1150
283,"ACETHYDRAZIDE 90% For Synthesis (Acetic acid hydrazide, Acetylhydrazine) 25 gm",,,,2600
284,"ACETHYDRAZIDE 90% For Synthesis (Acetic acid hydrazide, Acetylhydrazine) 100 gm",,,,7800
285,ACETIC ACID GLACIAL 99.5% AR 500 ml,,,,400
286,ACETIC ACID GLACIAL 99.5% AR 2.5 Ltr,,,,1500
287,ACETIC ACID GLACIAL 99.7% AR 500 ml,,,,460
288,ACETIC ACID GLACIAL 99.7% AR 2.5 Ltr,,,,1650
289,ACETIC ACID GLACIAL 99.8% HPLC 1 Ltr.,,,,1150
290,ACETIC ACID GLACIAL 99.8% HPLC 2.5 Ltr,,,,2400
291,ACETIC ACID 0.1M (0.1N) Standard Solution 500 ml,,,,320
292,ACETIC ACID 2M (2N) Standard Solution 500 ml,,,,240
293,ACETIC ACID 0.5M (0.5N) Standard Solution 500 ml,,,,260
294,ACETIC ACID 1M (1N) Standard Solution 500 ml,,,,300
295,ACETIC ACID 30% Extra Pure 500 ml,,,,160
296,ACETIC ACID 90% SOLUTION AR 1  Ltr.,,,,500
297,ACETOACETANILIDE 98% (For Synthesis) 500 gm,,,,850
298,ACETO CARMINE SOLUTION (For Microscopy) 100 ml,,,,900
299,ACETO CARMINE SOLUTION (For Microscopy) 250 ml,,,,2050
300,ACETO CARMINE SOLUTION (For Microscopy) 500 ml,,,,3800
301,ACETO CARMINE SOLUTION AR 100 ml,,,,1000
302,ACETO CARMINE SOLUTION AR 500 ml,,,,4000
303,ACETONE 99% Extra Pure 500 ml,,,,400
304,ACETONE 99% Extra Pure 2.5 Ltr.,,,,1500
305,ACETONE 99% Extra Pure 5 Ltr.,,,,2700
306,ACETONE 99.5% AR 500 ml,,,,440
307,ACETONE 99.5% AR 2.5 Ltr.,,,,1600
308,ACETONE 99.8% HPLC 1 Ltr.,,,,1100
309,ACETONE 99.8% HPLC 2.5 Ltr.,,,,2200
310,ACETONE ALCOHOL (For Synthesis) 500 ml,,,,280
311,ACETONE ALCOHOL (For Synthesis) 5 Ltr.,,,,2600
312,ACETONITRILE 99% Extra Pure 500 ml,,,,680
313,ACETONITRILE 99% Extra Pure 2.5 Ltr.,,,,2900
314,ACETONITRILE 99.5% AR 500 ml,,,,730
315,ACETONITRILE 99.5% AR 2.5 Ltr.,,,,3000
316,ACETONITRILE 99.9% HPLC 1 Ltr.,,,,1550
317,ACETONITRILE 99.9% HPLC 2.5 Ltr.,,,,3300
318,ACETONITRILE 99.9% HPLC GRADIENT 1 Ltr.,,,,1500
319,ACETONITRILE 99.9% HPLC GRADIENT 2.5 Ltr.,,,,3100
320,ACETO ORCEIN SOLUTION 100 ml,,,,650
321,ACETO ORCEIN SOLUTION 500 ml,,,,2800
322,ACETOPHENONE 99% (For Synthesis) 500 ml,,,,900
323,ACETOPHENONE 99% (For Synthesis) 2.5 Ltr.,,,,3600
324,ACETOPHENONE 99.5% AR 500 ml,,,,1000
325,ACETOPHENONE 99.5% AR 2.5 Ltr.,,,,4000
326,ACETYL ACETONE 98% (For Synthesis) 250 ml,,,,850
327,ACETYL ACETONE 98% (For Synthesis) 500 ml,,,,1600
328,ACETYL ACETONE 98% (For Synthesis) 2.5 Ltr.,,,,7000
329,ACETYL ACETONE 99.5% AR 250 ml,,,,950
330,ACETYL ACETONE 99.5% AR 500 ml,,,,1800
